fdc_id,brand_owner,gtin_upc,ingredients,serving_size,serving_size_unit,Num,Den,Type,branded_food_category,data_source,modified_date,available_date,market_country,discontinued_date,Quantity,is_oats,is_carrots,is_quinoa,is_beans,is_organic,is_spinach,is_broccoli,is_chickpea,is_tomato,is_sugar,is_gluten,is_cheese,is_corn_syrup,is_salt,is_palm_oil,is_shortening,is_sdm_bnzt,is_msg,is_processed,is_cornstarch,is_unhealthy,is_healthy,is_liquid
344621,Kellogg Company US,10084059000089,"COOKED BROWN RICE (LONG GRAIN BROWN RICE, WATER), WATER, MUSHROOMS, ONIONS, ROLLED OATS, MOZZARELLA CHEESE (PASTEURIZED PART-SKIM MILK, CHEESE CULTURES, SALT, ANNATTO FOR COLOR, ENZYMES), HYDRATED BULGUR WHEAT (WATER, BULGUR WHEAT), CHEDDAR CHEESE (PASTEURIZED MILK, SALT, ENZYMES, CULTURES, ANNATTO), SOY PROTEIN CONCENTRATE, CONTAINS TWO PERCENT OR LESS OF SALT, PARSLEY, MODIFIED VEGETABLE GUM, WHEAT GLUTEN, GARLIC POWDER, YEAST EXTRACT, AUTOLYZED YEAST EXTRACT, SPICES, CITRIC ACID, MALTED BARLEY, NATURAL FLAVORS, ANNATTO COLOR, WHEY, MALTODEXTRIN, MALTED BARLEY FLOUR, DEHYDRATED ONION, DEHYDRATED MUSHROOMS, GUAR GUM, TURMERIC COLOR.",142,g,1,NA,Patty,Vegetable Based Products / Meals - Not Ready to Eat (Frozen),GDSN,2017-11-16T00:00:00Z,2019-04-01T00:00:00Z,United States,NA,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0
344656,Kellogg Company US,84059000037,"COOKED BROWN RICE (LONG GRAIN BROWN RICE, WATER), BUTTON MUSHROOMS, ROLLED OATS, MOZZARELLA CHEESE (PASTEURIZED PART-SKIM MILK, CULTURES, SALT, ENZYMES), ONIONS, WATER, HYDRATED WHEAT BULGUR (WATER, BULGUR WHEAT), CRIMINI MUSHROOMS, SPICES, PORTABELLA MUSHROOMS, CHEDDAR CHEESE (PASTEURIZED MILK, SALT, ENZYMES, CULTURES, ANNATTO COLOR), CONTAINS TWO PERCENT OR LESS OF SALT, NATURAL FLAVORS, MODIFIED VEGETABLE GUM, GARLIC POWDER, YEAST EXTRACT, CITRIC ACID, WHEY, MALTED BARLEY, ANNATTO COLOR, MALTED BARLEY FLOUR, ONION POWDER, MUSHROOM POWDER, GUAR GUM, ANNATTO EXTRACT (COLOR), TURMERIC EXTRACT (COLOR), SOY LECITHIN.",71,g,1,NA,Patty,Vegetable Based Products / Meals - Not Ready to Eat (Frozen),GDSN,2016-12-20T00:00:00Z,2019-04-01T00:00:00Z,United States,NA,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0
344657,Kellogg Company US,84059100058,"COOKED BROWN RICE (LONG GRAIN BROWN RICE, WATER), BUTTON MUSHROOMS, ROLLED OATS, MOZZARELLA CHEESE (PASTEURIZED PART-SKIM MILK, CULTURES, SALT, ENZYMES), ONIONS, WATER, HYDRATED WHEAT BULGUR (WATER, BULGUR WHEAT), CRIMINI MUSHROOMS, SPICES, PORTABELLA MUSHROOMS, CHEDDAR CHEESE (PASTEURIZED MILK, SALT, ENZYMES, CULTURES, ANNATTO COLOR), CONTAINS TWO PERCENT OR LESS OF SALT, NATURAL FLAVORS, MODIFIED VEGETABLE GUM, GARLIC POWDER, YEAST EXTRACT, CITRIC ACID, WHEY, MALTED BARLEY, ANNATTO COLOR, MALTED BARLEY FLOUR, ONION POWDER, MUSHROOM POWDER, GUAR GUM, ANNATTO EXTRACT (COLOR), TURMERIC EXTRACT (COLOR), SOY LECITHIN.",71,g,1,NA,Patty,Vegetable Based Products / Meals - Not Ready to Eat (Frozen),GDSN,2018-01-25T00:00:00Z,2019-04-01T00:00:00Z,United States,NA,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0
344744,Kellogg Company US,84059100089,"COOKED BROWN RICE (WATER, BROWN RICE), ONIONS, COOKED BLACK BEANS (BLACK BEANS, WATER), WHOLE KERNEL CORN, WATER, RED BELL PEPPERS, GREEN CHILES, SOYBEAN FIBER, SOY PROTEIN CONCENTRATE, CANOLA OIL, ONION JUICE CONCENTRATE, CONTAINS TWO PERCENT OR LESS OF SOY PROTEIN ISOLATE, SALT, METHYLCELLULOSE, SPICES, CORN POWDER, DRIED CANE SYRUP, ONION POWDER, CARAMEL COLOR, DRIED GREEN AND RED BELL PEPPERS, GARLIC POWDER, YEAST EXTRACT, NATURAL FLAVORS, TOMATO POWDER, CHIPOTLE PEPPER, SUGAR, WHEAT GLUTEN, CITRIC ACID.",71,g,1,NA,Patty,Vegetable Based Products / Meals - Not Ready to Eat (Frozen),GDSN,2018-01-25T00:00:00Z,2019-04-01T00:00:00Z,United States,NA,1,0,0,0,1,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0
344921,Kellogg Company US,84059000426,"COOKED BROWN RICE (WATER, LONG GRAIN BROWN RICE), ONIONS, PORTABELLA MUSHROOMS, CRIMINI MUSHROOMS, SPINACH, ROLLED OATS, OAT FIBER, MOZZARELLA CHEESE (PASTEURIZED PART-SKIM MILK, CHEESE CULTURE, SALT, ENZYMES), WATER, CONTAINS TWO PERCENT OR LESS OF SALT, COOKED WILD RICE (LONG GRAIN WILD RICE, WATER), CANOLA OIL, SOY PROTEIN ISOLATE, GARLIC POWDER, METHYLCELLULOSE, SOY PROTEIN CONCENTRATE, NATURAL FLAVORS (CONTAINS WHEAT), YEAST EXTRACT, CARAMELIZED SUGAR, GARLIC, ONION POWDER, SPICES, TORULA YEAST, SUGAR, WINE SOLIDS, SOY FLOUR, CARAMEL COLOR, SUNFLOWER OIL.",71,g,1,NA,Patty,Vegetable Based Products / Meals - Not Ready to Eat (Frozen),GDSN,2016-11-30T00:00:00Z,2019-04-01T00:00:00Z,United States,NA,1,1,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0
344922,Kellogg Company US,84059100010,"WATER, COOKED BLACK BEANS (BLACK BEANS, WATER), COOKED BROWN RICE (WATER, BROWN RICE), SOY PROTEIN CONCENTRATE, ONIONS, WHOLE KERNEL CORN, SOY PROTEIN ISOLATE, GREEN CHILES, CANOLA OIL, CONTAINS TWO PERCENT OR LESS OF SALT, BULGUR WHEAT, SPICES, RED BELL PEPPERS, BLACK BEAN POWDER, METHYLCELLULOSE, YEAST EXTRACT, SUGAR, ONION POWDER, TOMATO POWDER, CARAMEL COLOR, NATURAL FLAVOR, GARLIC POWDER, PAPRIKA (COLOR), TURMERIC (COLOR).",85,g,1,NA,Patty,Vegetable Based Products / Meals - Not Ready to Eat (Frozen),GDSN,2017-11-16T00:00:00Z,2019-04-01T00:00:00Z,United States,NA,1,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0
344923,Kellogg Company US,84059100102,"COOKED BROWN RICE (WATER, LONG GRAIN BROWN RICE), ONIONS, PORTABELLA MUSHROOMS, CRIMINI MUSHROOMS, SPINACH, ROLLED OATS, OAT FIBER, MOZZARELLA CHEESE (PASTEURIZED PART-SKIM MILK, CHEESE CULTURE, SALT, ENZYMES), WATER, CONTAINS TWO PERCENT OR LESS OF SALT, COOKED WILD RICE (LONG GRAIN WILD RICE, WATER), CANOLA OIL, SOY PROTEIN ISOLATE, GARLIC POWDER, METHYLCELLULOSE, SOY PROTEIN CONCENTRATE, NATURAL FLAVORS (CONTAINS WHEAT), YEAST EXTRACT, CARAMELIZED SUGAR, GARLIC, ONION POWDER, SPICES, TORULA YEAST, SUGAR, WINE SOLIDS, SOY FLOUR, CARAMEL COLOR, SUNFLOWER OIL.",71,g,1,NA,Patty,Vegetable Based Products / Meals - Not Ready to Eat (Frozen),GDSN,2018-01-25T00:00:00Z,2019-04-01T00:00:00Z,United States,NA,1,1,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0
344924,Kellogg Company US,84059100003,"COOKED BROWN RICE (WATER, LONG GRAIN BROWN RICE), WATER, WHOLE KERNEL CORN, CARROTS, ONION, WHOLE GRAIN OATS, GREEN PEPPERS, CORN OIL, RED BELL PEPPERS, SOY PROTEIN ISOLATE, CONTAINS TWO PERCENT OR LESS OF SALT, SOY SAUCE (WATER, SOYBEANS, SALT, WHEAT), ONION POWDER, BROCCOLI, GUM BLEND (CARRAGEENAN, KONJAC FLOUR), CARRAGEENAN, METHYLCELLULOSE, GARLIC POWDER, BLACK PEPPER.",85,g,1,NA,Patty,Vegetable Based Products / Meals - Not Ready to Eat (Frozen),GDSN,2016-12-19T00:00:00Z,2019-04-01T00:00:00Z,United States,NA,1,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
344943,Kellogg Company US,10084059000065,"COOKED BROWN RICE (LONG GRAIN BROWN RICE, WATER), WATER, MUSHROOMS, ONIONS, ROLLED OATS, MOZZARELLA CHEESE (PASTEURIZED PART-SKIM MILK, CHEESE CULTURES, SALT, ANNATTO FOR COLOR, ENZYMES), HYDRATED BULGUR WHEAT (WATER, BULGUR WHEAT), CHEDDAR CHEESE (PASTEURIZED MILK, SALT, ENZYMES, CULTURES, ANNATTO), SOY PROTEIN CONCENTRATE, CONTAINS TWO PERCENT OR LESS OF SALT, PARSLEY, MODIFIED VEGETABLE GUM, WHEAT GLUTEN, GARLIC POWDER, YEAST EXTRACT, AUTOLYZED YEAST EXTRACT, SPICES, CITRIC ACID, MALTED BARLEY, NATURAL FLAVORS, ANNATTO COLOR, WHEY, MALTODEXTRIN, MALTED BARLEY FLOUR, DEHYDRATED ONION, DEHYDRATED MUSHROOMS, GUAR GUM, TURMERIC COLOR.",96,g,1,NA,Patty,Vegetable Based Products / Meals - Not Ready to Eat (Frozen),GDSN,2017-11-30T00:00:00Z,2019-04-01T00:00:00Z,United States,NA,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0
344944,Kellogg Company US,10084059000720,"WATER, COOKED BLACK BEANS (BLACK BEANS, WATER), COOKED BROWN RICE (WATER, BROWN RICE), SOY PROTEIN CONCENTRATE, ONIONS, WHOLE KERNEL CORN, HYDRATED BULGUR WHEAT (WATER, BULGUR WHEAT), SOY PROTEIN ISOLATE, GREEN CHILES, CANOLA OIL, CONTAINS TWO PERCENT OR LESS OF SALT, SPICES, RED BELL PEPPERS, BLACK BEAN POWDER, METHYLCELLULOSE, YEAST EXTRACT, SUGAR, ONION POWDER, TOMATO POWDER, CARAMEL COLOR, NATURAL FLAVOR, GARLIC POWDER, PAPRIKA (COLOR), TURMERIC (COLOR).",96,g,1,NA,Patty,Vegetable Based Products / Meals - Not Ready to Eat (Frozen),GDSN,2017-11-16T00:00:00Z,2019-04-01T00:00:00Z,United States,NA,1,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0
